id,sentence,label
1,svi hrvati koji se nalaze u siriji su dobro živi su i zdravi i nisu u neposrednoj opasnosti doznaje se iz ministarstva vanjskih poslova i europskih integracija,1
2,jandrokovićevo je ministarstvo u stalnim kontaktima s hrvatskim veleposlanstvom u kairu kao i s počasnim konzulom u siriji,0
3,predstavnici hrvatske diplomacije održali su sastanak s hrvatskim tvrtkama koje posluju u siriji i tamo imaju radnike,1
4,dobili su uvjerenje da je za sada sve u redu međutim mvpei izdao je upozorenje kako bi se situacija mogla pogoršati,1
5,za sada nije izdana preporuka za povlačenjem hrvatskih državljana iz sirije,1
6,u siriji trenutno ima oko 300 hrvata od čega su oko 250 radnici na privremenom boravku,0
7,oko 50 hrvata stalno boravi u siriji,0
8,podsjećamo sad su već upozorile svoje državljane da napuste siriju nakon što je prije nekoliko dana došlo do incidenta tijekom kojeg je vojska pucala po antivladinim prosvjednicima,0
9,u nekoliko gradova ubijeno je više stotina ljudi,1
10,amerikanci su već naredili povlačenje nepotrebnog osoblja iz svojih diplomatskih predstavništava te razmatraju uvođenje sankcija siriji,1
11,vojska je po građanima pucala i u predgrađima damaska,1
12,nepotvrđeni izvještaji kažu da se pucnjava nastavila i danas,0
13,i dalje pucaju po narodu ali mi pružamo otpor kazao je lokalni aktivist abazid abdullah afpu,1
14,aktivisti tvrde da je u sukobima od sredine ožujka ubijeno više od 350 ljudi,1
15,sirijska vlada odgovorna je za više od 2000 smrti tijekom gušenja prosvjeda rekla je američka državna tajnica hillary clinton,1
16,clinton je reagirala na vijest da je od nedjelje u pobunjeničkom uporištu hami ubijeno preko 140 civila,0
17,stanovnici toga grada javljaju da vojska snajperima i tenkovima puca na civile te da su zalihe hrane i lijekova na izmaku,1
18,aktivisti su kritizirali i jučerašnji dekret o višestranačju predsjednika bašara alasada s obzirom da je usprkos dekretu nastavio s ubijanjem političkih neistomišljenika,0
19,višestranački sustav je uz odlazak predsjednika jedan od ključnih zahtjeva prosvjednika koji su od sredine ožujka na ulicama,1
20,clinton je ponovila raniju izjavu da sad smatra kako je asad izgubio legitimnost u siriji,1
21,vidjeli smo da asadov režim ovoga tjedna nastavlja i pojačava napade protiv vlastitoga naroda,0
22,smatramo da je njegova vlada dosad odgovorna za više od 2000 smrti rekla je,1
23,dodala je i da sad i njegovi saveznici rade na tome da se na siriju napravi jači pritisak,1
26,u komentaru je navedeno kako oslobođenim prosvjednicima ruke nisu uprljane sirijskom krvlju ali nisu kazali u kakvim okolnostima i gdje su uhićeni,1
28,međutim broj ljudi koji su danas pušteni na slobodu vjerojatno je samo mali dio onih koji su dospjeli u zatvor po političkoj osnovi tijekom ustanka smatra unov visoki povjerenik za ljudska prava navi pillay,1
29,on je ranije ovog mjeseca kazao kako su od početka ustanka uhićene desetine tisuća ljudi,1
30,neki aktivisti govore kako bi takvih zatvorenika moglo biti i 40000 a un se zadržao na brojci od 14000,1
31,prema novom mirovnom planu arapske lige čiji su promatrači upravo u zemlji svi takvi politički zatvorenici trebaju biti pušteni na slobodu,1
32,unhcrov predstavnik u jordanu andrew harper je kazao da bi zemlje koje graniče sa ratnom sirijom zbog nedostatka novca mogle zatvoriti svoje granice te bi one mogle završiti u europi,1
33,uz zatvaranje granica država ima malo izbora kada procijeni da ne može primiti više izbjeglica kazao je harper i objasnio da će se potom ti ljudi ili morati vratiti u siriju ili otići tražiti neke druge države za bijeg a tu onda dolaze u obzir i europske države piše eu observer,1
35,u kamp na sjeveru jordana može se smjestiti 113 tisuća ljudi,0
36,jordanci se žale kako im već nestaje sredstava za zbrinjavanje izbjeglih,0
37,eu daje nekakvu pomoć no mi očajnički trebamo još novca,1
38,nadamo se da će moći pružiti potporu kako bi mi mogli pomoći,1
39,doslovno u istom trenutku potrošimo sve što dobijemo rekao je harper,0
40,dnevno u jordan iz sirije dolazi oko 1500 ljudi,0
41,većinom su žene i djeca iz gradova i mjesta blizu granice,0
42,prošlog tjedna je veći broj izbjeglica iz damaska prešao u jordan,0
43,pokušavamo smanjiti troškove kampova ali jordan će vjerojatno zatvoriti granicu ako ne dobije novac,1
44,izbjeglice će se morati vratiti ili otići negdje drugdje objašnjava harper,0
45,procjenjuje da im treba oko 12 milijuna dolara kako bi kampovi ostali u funkciji,1
46,žestoko nasilje tijekom vikenda u najvećem sirijskom gradu aleppu je natjeralo oko 200 tisuća stanovnika u bijeg a mnogi su spas potražili u turskoj,1
47,do sada je u tursku pobjeglo oko 70 tisuća sirijskih izbjeglica,0
49,grčka je na granicu sa turskom dopremila dodatnih 1800 graničnih policajaca,0
50,jučer je grčki ministar nikos denidias kazao da su vrlo zabrinuti zbog stanja u siriji,0
52,većina njih još uvijek ostaje u turskoj,0
53,no oni sirijci koji su pokušali ući u cipar su prvo na otoku došli na turski dio da bi potom prešli liniju i službeno ušli u eu,1
55,ne smijemo to dopustiti za dobro ljudi koji su svakoga dana izvrgnuti nasilju kazala je povjerenica eu kristalina georgieva,1
57,oko 40 posto tog novca odlazi za izbjeglice u libanonu turskoj i jordanu,1
58,europska granična agencija frontex je izvijestila da je oko 715 sirijskih izbjeglica pokušalo ući u eu u prva tri mjeseca 2012 godine što je pet puta više nego u 2011,0
59,većina njih je pokušala iz turske ući u grčku,0
60,američki predsjednik joe biden se tijekom konferencije za novinare na summitu g7 dok je govorio o humanitarnoj pomoći zemljama pogođenim građanskim ratom zbunio pomiješavši libiju i siriju i to ne jednom već tri puta javio je fox news,1
61,predsjednik poznat po gafovima govorio je o mogućnosti suradnje s rusijom u pružanju vitalne pomoći libiji čije je stanovništvo u velikoj nevolji,1
63,dakle nadam se da ćemo naći način da spasimo živote ljudi u na primjer libiji rekao je biden,1
64,potom je rekao da je rusija svojom intervencijom u siriji zagrizla više nego što može progutati a nakon toga je ponovo spomenuo libiju,1
