id,tokens,label,pos
1,"[""svi"",""hrvati"",""koji"",""se"",""nalaze"",""u"",""siriji"",""su"",""dobro"",""živi"",""su"",""i"",""zdravi"",""i"",""nisu"",""u"",""neposrednoj"",""opasnosti"",""doznaje"",""se"",""iz"",""ministarstva"",""vanjskih"",""poslova"",""i"",""europskih"",""integracija""]","[0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[""ADJ"",""NOUN"",""DET"",""PRON"",""VERB"",""ADP"",""NOUN"",""AUX"",""ADV"",""VERB"",""AUX"",""CCONJ"",""ADJ"",""CCONJ"",""AUX"",""ADP"",""ADJ"",""NOUN"",""VERB"",""PRON"",""ADP"",""NOUN"",""ADJ"",""NOUN"",""CCONJ"",""ADJ"",""NOUN""]"
2,"[""jandrokovićevo"",""je"",""ministarstvo"",""u"",""stalnim"",""kontaktima"",""s"",""hrvatskim"",""veleposlanstvom"",""u"",""kairu"",""kao"",""i"",""s"",""počasnim"",""konzulom"",""u"",""siriji""]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[""ADV"",""AUX"",""NOUN"",""ADP"",""ADJ"",""NOUN"",""ADP"",""ADJ"",""NOUN"",""ADP"",""NOUN"",""SCONJ"",""CCONJ"",""ADP"",""ADJ"",""NOUN"",""ADP"",""NOUN""]"
3,"[""predstavnici"",""hrvatske"",""diplomacije"",""održali"",""su"",""sastanak"",""s"",""hrvatskim"",""tvrtkama"",""koje"",""posluju"",""u"",""siriji"",""i"",""tamo"",""imaju"",""radnike""]","[0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0]","[""NOUN"",""ADJ"",""NOUN"",""VERB"",""AUX"",""NOUN"",""ADP"",""ADJ"",""NOUN"",""DET"",""VERB"",""ADP"",""NOUN"",""CCONJ"",""ADV"",""VERB"",""NOUN""]"
4,"[""dobili"",""su"",""uvjerenje"",""da"",""je"",""za"",""sada"",""sve"",""u"",""redu"",""međutim"",""mvpei"",""izdao"",""je"",""upozorenje"",""kako"",""bi"",""se"",""situacija"",""mogla"",""pogoršati""]","[1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0]","[""VERB"",""AUX"",""NOUN"",""PART"",""AUX"",""ADP"",""ADV"",""ADJ"",""ADP"",""NOUN"",""ADV"",""NOUN"",""VERB"",""AUX"",""NOUN"",""ADV"",""AUX"",""PRON"",""NOUN"",""VERB"",""VERB""]"
5,"[""za"",""sada"",""nije"",""izdana"",""preporuka"",""za"",""povlačenjem"",""hrvatskih"",""državljana"",""iz"",""sirije""]","[0,0,0,1,0,0,0,0,0,0,0]","[""ADP"",""ADV"",""AUX"",""ADJ"",""NOUN"",""ADP"",""NOUN"",""ADJ"",""NOUN"",""ADP"",""NOUN""]"
6,"[""u"",""siriji"",""trenutno"",""ima"",""oko"",""300"",""hrvata"",""od"",""čega"",""su"",""oko"",""250"",""radnici"",""na"",""privremenom"",""boravku""]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[""ADP"",""NOUN"",""ADV"",""VERB"",""ADV"",""NUM"",""NOUN"",""ADP"",""PRON"",""AUX"",""ADV"",""NUM"",""NOUN"",""ADP"",""ADJ"",""NOUN""]"
8,"[""podsjećamo"",""sad"",""su"",""već"",""upozorile"",""svoje"",""državljane"",""da"",""napuste"",""siriju"",""nakon"",""što"",""je"",""prije"",""nekoliko"",""dana"",""došlo"",""do"",""incidenta"",""tijekom"",""kojeg"",""je"",""vojska"",""pucala"",""po"",""antivladinim"",""prosvjednicima""]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[""VERB"",""ADV"",""AUX"",""ADV"",""VERB"",""DET"",""NOUN"",""PART"",""VERB"",""NOUN"",""ADV"",""PRON"",""AUX"",""ADV"",""ADV"",""NOUN"",""VERB"",""ADP"",""NOUN"",""ADP"",""DET"",""AUX"",""NOUN"",""VERB"",""ADP"",""ADJ"",""NOUN""]"
9,"[""u"",""nekoliko"",""gradova"",""ubijeno"",""je"",""više"",""stotina"",""ljudi""]","[0,0,0,0,0,0,1,0]","[""ADP"",""ADV"",""NOUN"",""ADJ"",""AUX"",""ADV"",""NOUN"",""NOUN""]"
11,"[""vojska"",""je"",""po"",""građanima"",""pucala"",""i"",""u"",""predgrađima"",""damaska""]","[0,0,1,0,0,0,0,0,0]","[""NOUN"",""AUX"",""ADP"",""NOUN"",""VERB"",""CCONJ"",""ADP"",""NOUN"",""NOUN""]"
12,"[""nepotvrđeni"",""izvještaji"",""kažu"",""da"",""se"",""pucnjava"",""nastavila"",""i"",""danas""]","[0,0,0,0,0,0,0,0,0]","[""ADJ"",""NOUN"",""VERB"",""PART"",""PRON"",""NOUN"",""VERB"",""CCONJ"",""ADV""]"
